Date,Event,OB,Penalty,Total,Score,Out,In,Gon-Patt+36,1st,2nd,green,approach,Double Total,3 shot in 100,Total,Score,,1,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,2,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,3,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,4,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,5,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,6,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,7,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,8,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,9,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,,10,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,11,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,12,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,13,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,14,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,15,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,16,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,17,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数,18,Teeing番手,結果,GIR番手,結果,Hazard,Pin位置,歩数,Patt数,Patt数
5/3/2025,バイク預け始め。260。2#はDrちょろ。6#はPin7Iシャンク。18＃は2打目3WでOB。,2 ,1 ,3 ,84 ,44 ,40 ,4 ,1,1,1,0,3,1,4,0,,5,3U,F,8,↓, r-yard:114,1,2,2,3,6,1W,↓,7,↓, r-yard:140,4,6,2,4,4,3U,?,4,GO, r-yard:119,3,23,2,2,4,,,6,?, r-yard:175,1,4,2,2,4,1W,?,4,GO, r-yard:77,1,1,1,3,8,3U,?,7,ROB, r-yard:130,1,17,3,5,3,,,4,GO, r-yard:84,1,8,2,1,5,1W,F,P,GO, r-yard:109,3,3,2,3,5,3W,←,9,→,1penalty r-yard:115,1,1,1,4,,3,,,5,GO, r-yard:162,5,17,2,1,4,1W,F,P,GO, r-yard:102,2,2,2,2,4,3W,F,9,GO, r-yard:132,4,12,2,2,5,1W,F,P,?, r-yard:100,1,2,2,3,5,1W,?,5U,↑, r-yard:163,3,1,1,4,4,1W,F,9,GO, r-yard:116,3,2,2,2,5,1W,F,56,↓,B r-yard:71,3,7,2,3,3,,,7,GO, r-yard:152,2,14,2,1,7,1W,F,P,GO, r-yard:104,3,4,2,5
4/29/2025,5:11スタート、車を借りて寝不足の中のプレー。夜露でグリーンが重い#5は7歩で3パットでX。18#は134yで６Iは番手ミス。7Iでよい。,0 ,0 ,0 ,81 ,42 ,39 ,2 ,0,0,0,1,1,3,4,1,,4,3U,F,9,↓, r-yard:116,2,6,1,3,4,1W,F,P,↓, r-yard:96,4,1,1,3,4,5U,F,P,GO, r-yard:105,3,6,2,2,4,,,6,GO, r-yard:178,1,26,3,1,6,1W,?,4,GO, r-yard:76,4,7,3,3,6,3U,F,0,GO, r-yard:90,2,7,3,3,3,,,4,GO, r-yard:84,1,4,2,1,6,1W,F,P,GO, r-yard:91,3,3,2,4,5,3W,F,8,→, r-yard:131,2,2,2,3,,4,,,6,↓, r-yard:148,2,4,2,2,4,1W,?,5,↓, r-yard:160,3,0,0,4,4,3W,F,9,GO, r-yard:133,3,10,2,2,4,1W,F,4,GO, r-yard:83,2,7,2,2,5,1W,←,7,GO, r-yard:144,3,14,2,3,3,1W,F,P,GO, r-yard:107,2,1.5,1,2,5,3W,F,0,↓,B r-yard:80,3,4,2,3,4,,,9,→, r-yard:131,1,1.5,1,3,6,1W,F,6,?, r-yard:134,3,6,1,5
4/26/2025,"#18DROB,アプローチイップスになる前に、何とかしないといけない。8番は2打目控えてうまいパーが取れた。",1 ,0 ,1 ,82 ,41 ,41 ,6 ,1,0,0,0,1,4,5,1,,4,3U,F,8,GO, r-yard:121,3,3,2,2,5,1W,F,0,GO, r-yard:50,2,10,3,2,5,3U,F↓,0,GO, r-yard:86,2,4,2,3,3,,,5,GO, r-yard:178,4,18,2,1,5,1W,F,4,GO, r-yard:85,5,12,3,2,6,3U,F,0,GO, r-yard:17,1,9,3,3,3,,,9,↑, r-yard:112,5,1,1,2,5,1W,F,P,GO, r-yard:100,2,4,2,3,5,3W,F,9,?, r-yard:113,2,1,1,4,,4,,,5U,↑, r-yard:171,3,3,2,2,5,1W,→,8,GO, r-yard:124,2,18,3,2,4,3W,F,0,GO, r-yard:108,2,1.5,2,2,5,1W,→,8,?, r-yard:112,1,2,2,3,5,1W,F↓,5U,→, r-yard:157,3,1.5,1,4,3,1W,?,5U,GO, r-yard:169,3,3,1,2,4,1W,F,4,↑, r-yard:69,2,1,1,3,4,,,8,GO, r-yard:148,1,18,3,1,7,1W,LOB,P,GO, r-yard:96,3,4,2,5
4/20/2025,風ほどほど13番はチップイン2打目は左病的だ。7も左にOB。1番右OBは対策が必要だ。,2 ,1 ,3 ,80 ,43 ,37 ,2 ,1,0,2,0,3,1,4,2,,6,3U,LOB,8,GO, r-yard:132,3,16,2,4,4,1W,F,0,GO, r-yard:39,1,4,2,2,4,3U,F,0,GO, r-yard:89,1,4,2,2,5,,,5,?,WH r-yard:16,2,20,2,3,4,1W,↑,0,↓, r-yard:49,3,1.5,1,3,5,3U,F,0,GO, r-yard:98,2,20,2,3,6,,,9,LOB, r-yard:106,2,2,2,4,6,1W,F,9,GO, r-yard:94,1,20,3,3,3,3W,→,5,GO, r-yard:148,3,11,1,2,,4,,,5,?, r-yard:170,3,3,1,3,4,1W,→,9,GO, r-yard:101,1,13,2,2,5,3W,F,P,GO, r-yard:111,1,14,3,2,3,1W,F,9,←, r-yard:101,3,0,0,3,5,1W,F,7,GO, r-yard:139,2,11,2,3,4,1W,F,4,GO, r-yard:76,1,13,2,2,4,1W,F,4,GO, r-yard:82,3,1,1,3,3,,,6,GO, r-yard:153,2,12,2,1,5,1W,F,6,GO, r-yard:132,3,16,2,3
4/12/2025,風はところどころ強かったが3サムでパターに時間かけてプレーできた。#9は3W投入,0 ,0 ,0 ,79 ,41 ,38 ,6 ,0,0,0,0,0,1,1,0,,4,3U,F,9,GO, r-yard:112,2,4,2,2,5,1W,F,0,↓, r-yard:100,2,2,2,3,4,3U,?,9,GO, r-yard:120,2,5,2,2,3,,,6,GO, r-yard:148,4,12,2,1,5,1W,?,7,←, r-yard:133,1,2,2,3,6,3U,F,4,GO, r-yard:60,1,11,3,3,3,,,0,GO, r-yard:98,2,7,2,1,6,1W,F,0,GO, r-yard:74,1,12,3,3,5,3W,→,5,GO, r-yard:150,2,13,3,2,,4,,,5,↓, r-yard:177,3,7,2,2,4,1W,F,P,GO, r-yard:111,2,5,2,2,4,3W,?,7,GO, r-yard:136,2,7,2,2,4,1W,F,9,?, r-yard:123,1,3,1,3,5,1W,F,7,↑, r-yard:146,2,1,1,4,4,1W,F,8,GO, r-yard:130,2,1.5,2,2,4,1W,F,4,GO, r-yard:40,1,7,2,2,3,,,8,?, r-yard:130,2,1,1,2,6,1W,F,0,↑, r-yard:140,3,2,2,4
3/15/2025,Pin位置2番。寒いが風なし。行き遅れ練習できず。ピンは抜いてパッティング好調。2nd乗らない。Tさんと。,1 ,1 ,2 ,84 ,40 ,44 ,4 ,1,1,0,0,2,4,6,1,,5,3U,F,P,GO, r-yard:97,1,7,3,2,4,1W,F,9,→, r-yard:100,3,3,1,3,5,5U,?,4,↓, r-yard:84,1,6,2,3,4,,,6,?, r-yard:177,3,5,2,2,5,1W,↑,0,↓,B r-yard:97,1,7,2,3,4,3U,F,4,GO,B r-yard:88,3,17,1,3,3,,,4,?, r-yard:83,2,4,1,2,6,1W,F,8,?, r-yard:115,2,5,2,4,4,5W,F,8,GO, r-yard:121,1,13,2,2,,4,,,5U,GO, r-yard:172,4,17,3,1,4,1W,F,0,GO, r-yard:82,1,9,2,2,6,5W,→,6,?,WH r-yard:172,4,8,2,4,7,1W,LOB,7,↓, r-yard:134,3,8,2,5,5,1W,F,8,GO, r-yard:126,1,20,2,3,5,1W,F,8,←, r-yard:130,3,3,2,3,4,1W,F,9,→, r-yard:119,1,1,1,3,3,,,6,GO, r-yard:172,3,6,2,1,6,1W,F,0,↓,B r-yard:94,1,12,2,4
2/2/2025,月例2位 7千 ベスグロは79で4打足りない。Sさんと良いラウンド,1 ,0 ,1 ,83 ,42 ,41 ,4 ,2,0,1,0,3,1,4,0,,4,3U,F,9,←, r-yard:117,1,2,1,3,6,1W,↓,4,↓, r-yard:67,4,1,1,5,4,3U,F,4,GO, r-yard:74,2,5,2,2,5,,,5,↑, r-yard:167,3,27,3,2,4,1W,?,4,GO, r-yard:53,2,30,2,2,6,3U,F,4,?,B r-yard:77,3,5,2,4,3,,,0,GO, r-yard:91,2,13,2,1,6,1W,F,8,?, r-yard:128,3,9,2,4,4,5W,F,8,?, r-yard:132,1,1,1,3,,3,,,6,GO, r-yard:154,1,6,2,1,4,1W,F,8,GO, r-yard:121,4,10,2,2,6,1W,LOB,P,GO, r-yard:114,4,12,2,4,5,1W,F,9,↑, r-yard:107,2,2,1,4,5,1W,↑,P,GO, r-yard:107,1,13,2,3,5,1W,F,7,GO, r-yard:139,4,32,3,2,4,1W,F,4,GO, r-yard:71,1,26,2,2,3,,,6,GO, r-yard:172,3,17,2,1,6,1W,F,6,↓,B r-yard:135,1,5,2,4
12/21/2024,2OBはLostで、枯葉で亡くなったか。風強い。#10は風強く2番手大きい。54を使ったアプローチ。転がしでなくGreenに届くイメージで、そのあと転がさない。,2 ,1 ,3 ,82 ,43 ,39 ,-2 ,1,0,1,1,3,3,6,2,,6,3U,F,7,?, r-yard:134,2,10,3,3,5,1W,F,0,↑, r-yard:85,4,2,2,3,4,3U,F,P,GO, r-yard:105,3,12,2,2,3,,,6,→, r-yard:165,1,0.5,1,2,6,1W,LOB,4,GO,lost r-yard:68,4,6,2,4,5,3U,F,P,GO, r-yard:103,2,5,2,3,4,,,5,GO, r-yard:84.5,1,13,2,2,5,1W,F,4,GO, r-yard:64,3,8,2,3,5,5W,←,6,↑,B r-yard:143,2,2,1,4,,5,,,5,↑, r-yard:153,2,1,1,4,4,1W,F,4,↓, r-yard:84,3,1,1,3,5,5W,?,0,WH,WH r-yard:94,3,2,1,4,3,1W,F,4,GO, r-yard:75,2,9,1,2,5,1W,F,6,↑, r-yard:143,3,1,1,4,5,1W,LOB,4,GO,lost r-yard:87,2,1,1,4,4,1W,F,0,GO, r-yard:47,3,7,2,2,4,,,9,?, r-yard:132,1,9,2,2,4,1W,F,4,↓, r-yard:71,3,1,1,3
11/16/2024,最後電池切れ。毎回充電必要。13 15 8番Dr力んで 左へ。Slopeでない距離で記録。,0 ,0 ,0 ,84 ,39 ,45 ,7 ,0,0,1,1,2,3,5,1,,4,3U,?,0,GO, r-yard:87.5,1,10,2,2,3,1W,F,0,GO, r-yard:64,3,3,1,2,4,5U,F,0,GO, r-yard:84.5,1,12,2,2,4,,,5,GO, r-yard:175.5,3,19,3,1,4,1W,←,0,GO, r-yard:107,1,13,2,2,6,3U,?,5W,↑,B r-yard:207.5,3,7,2,4,3,,,4,GO, r-yard:84.5,2,2,2,1,6,1W,F,7,←, r-yard:124.5,2,6,2,4,5,5W,→,7,?, r-yard:135,1,3,2,3,,4,,,5,?, r-yard:173,4,5,2,2,5,1W,F,P,GO, r-yard:93.5,1,7,3,2,6,5W,?,3U,?,B r-yard:265,4,10,3,3,5,1W,?,0,GO, r-yard:60,3,12,2,3,5,1W,F,9,?, r-yard:115.5,1,1,1,4,6,1W,?,4,↓, r-yard:60,3,4,2,4,5,1W,←,0,?, r-yard:91,3,1.5,2,3,3,,,6,GO, r-yard:160,3,6,2,1,6,1W,F,0,↓, r-yard:86,1,6,2,4
11/10/2024,月例5位 2千 ベスグロは76で２打足りない。OBなし。Sさんと良いラウンド,0 ,0 ,0 ,78 ,38 ,40 ,8 ,0,0,0,1,1,1,2,1,,5,3U,F,9,GO, r-yard:117,3,8,3,2,4,1W,F,9,GO, r-yard:103,4,14,2,2,3,5U,F,P,GO, r-yard:97,2,2,1,2,4,,,5,?, r-yard:192,4,3,2,2,4,1W,→,9,GO,B r-yard:129,5,9,2,2,5,1W,F,9,GO, r-yard:103,3,12,2,3,3,,,0,GO, r-yard:102,4,12,2,1,5,1W,F,8,GO, r-yard:120,2,28,2,3,5,5W,F,7,GO, r-yard:141,2,20,3,2,,3,,,5,GO, r-yard:169,3,3,2,1,4,1W,F,P,GO, r-yard:102,3,3,2,2,4,1W,F,0,GO, r-yard:106,2,8,2,2,5,1W,→,7,↓,B r-yard:128,3,5,2,3,5,1W,F,7,GO, r-yard:144,3,16,2,3,6,1W,F,8,↓,B r-yard:125,3,4,3,3,5,1W,F,4,?, r-yard:64,3,12,2,3,3,,,8,GO, r-yard:154,2,12,2,1,5,1W,F,P,GO, r-yard:91,3,4,2,3
